"On Stage ( 12th Convocation, 28th Oct 2025)",,,
,,,
1,Hon'ble Haribhau Bagade,Governor of Rajasthan,
,,ADC,
,,Principle OSD,
2,Dr. Nidhipati Singhania,"Chairperson, SPSU",
3,"Dr. Sanjay Sinha, FRSA",HoE JK Cement Education Vertical,
4,Prof. Prithvi Yadav,"President, SPSU",
5,Prof. Prasun Chakrabarti,Pro-President (R&A),
6,Prof. (Dr.) Udayprakash R. Singh ,"Registrar, SPSU",
7,Mr. Cedric D'souza,Guest of Honour,
8,Shri Manoj Singhal ,Guest of Honour,
9,Smt Archana Puran Singh,Guest of Honour,
,,,
,,,
Category - A (VVIP),,,
Sr. No.,Guest Name,Designation ,
1,Dr. Raghavpat Singhania,MD JKCL,BOM
2,Mr. Madhavkrishna Singhania,"Joint MD & CEO, JKCL",BOM
3,Mr. Ajay Kumar Saraogi,"Dy MD & CFO, JKCL",BOM
4,Dr. Dhruv Aggrawal,"President, Strategy, Paramount Communication Ltd. ",BOM
5,Mr. Mangal Dev,Head Hitachi Railway Syfence (India & South Asia),BOM
6,Prof. Nalinaksh S. Vyas,IIT Kanpur,BOM
7,Prof. Sadananda Prusty,Dean-FM,BOM
8,Mr. Manish Toshniwal,"Plant Head, JKCL, Mangrol & Nimbahera Plant",
9,Mr. Prabhakar Mishra,"HR Head, JKCL, Nimbahera",
10,Mr. Kishan Joshi,"Principal, YPSIT, Nimbahera",
11,Mr. Ravindra Kumar Garg,"Commercial Head, JKCL, Nimbahara & Mangrol",
12,Mr. Rajesh Soni,"Techincal Head, JKCL, Nimbahara", 
13,Mr. Murli Manohar Lodha,"Techincal Head, JKCL, Mangrol",
14,Shri Anuj Khandelwal,JKCL,
15,Shri Sanjeev Garg,JKCL,
16,Shri Yagyesh Gupta,JKCL,
17,Shri Anil Badgotri,JKCL,
18,Mr. Parmeet Singh Sethi,Along with Ms. Archana Puran Singh,
19,Mr. Aaryaman Sethi,,
20,Ms. Yogita Bihani ,,
21,Ms. Akarsha Jagtiani,Daughter of Mr. Cedric D'souza (Honoris Causa),
22,Ms. Savita Yadav,,
,,,
Category - B (VIP),,,
Sr. No.,Guest Name,Designation ,
23,Prof. Ashok Banerjee,"Director, IIM Udaipur",
24,Prof. B.P. Sharma,"Group- President, PIMS",
25,Prof. Pratap Singh Dhakar,"Vice-Chancellor, MPUAT",
26,Prof. U.S. Sharma,"VC Search Committee Member, Rajasthan,
Ex. Vice-Chancellor, MPUAT",
27,Prof. S.S. Sarangdevot,"Vice-Chancellor, Rajasthan Vidyapeeth",
28,Prof. S.K. Sharma,"Dean, Vatainary College, Vallabhnager ",
29,Dr. S. M. Prasanna Kumar,"Director, GITS",
30,Col. N.K. Bhagasra ,"Group Commander, NCC",
31,Col. Ambresh ,Commanding Officer,
32,Col. Prakash Kumar N,Commanding Officer,
33,Ms. Pragya Kewalramani ,Commissioner,
34,Mr. Namit Mehta,"DM , Udaipur",
35,Mrs. Nirma Bishnoi,SDM,
36,Mr.Yogesh Goyal,SP Udaipur,
37,Mr . Gaurav Srivastava,IG Udaipur,
38,Mr. Rajenndra Jain,DYSP  Vallabhnagar,
,,,
,,,
,,,
,,,
,,,
,,,
